"Rank","Name","Country","Score","Tens","Xs"
"1","SCHLOESSER Mike","NED","713","66","40"
"2","HANSEN Stephan","DEN","710","62","29"
"3","BRENT-MEEK Reuben","RSA","708","61","34"
"4","GELLENTHIEN Braden","USA","708","60","35"
"5","SCHAFF Kris","USA","708","60","33"
"6","MUNOZ Daniel","COL","708","60","29"
"7","LUTZ James","USA","708","32","12"
"8","CHAUHAN Rajat","IND","707","59","35"
"9","CHEN Chieh-Lun","TPE","707","60","31"
"10","DAMSBO Martin","DEN","707","59","28"
"11","BULAEV Anton","RUS","706","60","31"
"12","WIENER Nico","AUT","706","59","28"
"13","BOSANSKY Jozef","SVK","706","58","29"
"14","GONZALEZ Rodolfo","MEX","705","58","24"
"15","ELZINGA Peter","NED","705","58","21"
"16","DAMBAEV Alexander","RUS","705","57","30"
"17","DELOCHE Pierre-Julien","FRA","704","58","26"
"18","FAUGSTAD Anders","NOR","704","58","20"
"19","MASON James","GBR","704","56","22"
"20","BOULCH Jean Philippe","FRA","703","56","26"
"21","BARAER Quentin","FRA","703","56","24"
"22","YETIM Muhammed","TUR","703","55","30"
"23","VERMA Abhishek","IND","703","55","26"
"24","LOPEZ Ramon","ESP","703","55","19"
"25","VAVRO Mario","CRO","702","56","27"
"26","BUDEN Domagoj","CRO","701","54","25"
"27","SAINI Aman","IND","701","53","30"
"28","PEINEAU Sebastien","FRA","701","53","26"
"29","TRACHSEL Marcel","GER","701","53","25"
"30","KNUDSEN Mads","DEN","701","53","21"
"31","LAUBE Marcus","GER","701","53","20"
"32","CAGIRAN Evren","TUR","700","52","20"
"33","DAS Bhagwan","IND","699","52","23"
"34","BORGSTROM Hampus","SWE","699","51","20"
"35","HIDALGO Antonio","MEX","698","59","32"
"36","MORGAN Tate","USA","698","59","28"
"37","LIMÅS Joakim","SWE","698","52","18"
"38","PIZARRO Jean","PUR","698","51","29"
"39","FIERRO Julio","MEX","698","50","25"
"40","PAN Yu Ping","TPE","698","50","24"
"41","PRZYBYLSKI Lukasz","POL","697","51","29"
"42","BRIDGEWATER Neil","GBR","697","50","21"
"43","CANALEJAS TEJERO Victor","ESP","697","50","20"
"44","DELLA STUA Valerio","ITA","696","52","29"
"45","LIU Yuan","TPE","696","51","20"
"46","FREGNAN Elia","ITA","696","50","17"
"47","PAGNI Sergio","ITA","696","49","26"
"48","STROMBERG Linus","SWE","696","49","21"
"49","KRYLOV Pavel","RUS","696","49","20"
"50","KALASHNIKOV Viktor","RUS","694","48","20"
"51","HAUGSETH Mads","NOR","693","47","17"
"52","DE KLERK Christian Beyers","RSA","693","46","17"
"53","PATER Sil","NED","693","46","17"
"54","VANEK Martin","CZE","692","47","20"
"55","ZIKIC Stefan","SRB","692","46","23"
"56","ACHILIE Ovidiu","ROU","692","45","13"
"57","ARAZ Suleyman","TUR","691","52","16"
"58","HAMDORF Sebastian","GER","691","45","12"
"59","BEGA Timo","LUX","690","46","15"
"60","LAURSEN Martin","DEN","690","45","19"
"61","HOLLAS Leon","GER","690","44","22"
"62","TAYLOR Stuart","GBR","690","43","14"
"63","LUNDIN Morgan","SWE","689","44","13"
"64","CHEN Hsiang-Hsuan","TPE","688","42","20"
"65","WIENER Wolfgang","AUT","687","43","16"
"66","MODIC Stas","SLO","687","42","14"
"67","ROUX Patrick","RSA","686","58","24"
"68","MATZNER Michael","AUT","685","38","12"
"69","SITAR Dejan","SLO","682","39","19"
"70","GORCZYCA Krzysztof","POL","681","40","17"
"71","REITMEIER Filip","CZE","680","38","13"
"72","BUZEK Vladimir","SVK","679","37","12"
"73","BEKTURSUN Zhomart","KAZ","669","33","11"
"74","GOMOLISZEK Michal","POL","668","37","15"
"75","PEROUTKA Ondrej","CZE","666","31","9"
"76","SHARVIN Mark","IRL","664","28","10"
