"Rank","Name","Country"
"1","LUTZ James","USA"
"2","SCHAFF Kris","USA"
"3","SCHLOESSER Mike","NED"
"4","MUNOZ Daniel","COL"
"5","BOSANSKY Jozef","SVK"
"6","CHAUHAN Rajat","IND"
"7","GONZALEZ Rodolfo","MEX"
"7","PAGNI Sergio","ITA"
"9","ARAZ Suleyman","TUR"
"9","BULAEV Anton","RUS"
"9","DELOCHE Pierre-Julien","FRA"
"9","HANSEN Stephan","DEN"
"9","HIDALGO Antonio","MEX"
"9","PATER Sil","NED"
"9","TRACHSEL Marcel","GER"
"9","VERMA Abhishek","IND"
"17","BOULCH Jean Philippe","FRA"
"17","BRENT-MEEK Reuben","RSA"
"17","BUDEN Domagoj","CRO"
"17","CAGIRAN Evren","TUR"
"17","DAMBAEV Alexander","RUS"
"17","DAMSBO Martin","DEN"
"17","DELLA STUA Valerio","ITA"
"17","ELZINGA Peter","NED"
"17","FREGNAN Elia","ITA"
"17","GELLENTHIEN Braden","USA"
"17","LAUBE Marcus","GER"
"17","PEINEAU Sebastien","FRA"
"17","PIZARRO Jean","PUR"
"17","PRZYBYLSKI Lukasz","POL"
"17","VAVRO Mario","CRO"
"17","YETIM Muhammed","TUR"
"33","BARAER Quentin","FRA"
"33","BORGSTROM Hampus","SWE"
"33","BRIDGEWATER Neil","GBR"
"33","CHEN Chieh-Lun","TPE"
"33","DAS Bhagwan","IND"
"33","FAUGSTAD Anders","NOR"
"33","FIERRO Julio","MEX"
"33","GORCZYCA Krzysztof","POL"
"33","HAMDORF Sebastian","GER"
"33","HOLLAS Leon","GER"
"33","KALASHNIKOV Viktor","RUS"
"33","KNUDSEN Mads","DEN"
"33","KRYLOV Pavel","RUS"
"33","LIMÅS Joakim","SWE"
"33","LOPEZ Ramon","ESP"
"33","MASON James","GBR"
"33","MATZNER Michael","AUT"
"33","MORGAN Tate","USA"
"33","PAN Yu Ping","TPE"
"33","SAINI Aman","IND"
"33","STROMBERG Linus","SWE"
"33","TAYLOR Stuart","GBR"
"33","VANEK Martin","CZE"
"33","WIENER Nico","AUT"
"57","ACHILIE Ovidiu","ROU"
"57","BEGA Timo","LUX"
"57","BEKTURSUN Zhomart","KAZ"
"57","BUZEK Vladimir","SVK"
"57","CANALEJAS TEJERO Victor","ESP"
"57","CHEN Hsiang-Hsuan","TPE"
"57","DE KLERK Christian Beyers","RSA"
"57","GOMOLISZEK Michal","POL"
"57","HAUGSETH Mads","NOR"
"57","LAURSEN Martin","DEN"
"57","LIU Yuan","TPE"
"57","LUNDIN Morgan","SWE"
"57","MODIC Stas","SLO"
"57","PEROUTKA Ondrej","CZE"
"57","REITMEIER Filip","CZE"
"57","ROUX Patrick","RSA"
"57","SHARVIN Mark","IRL"
"57","SITAR Dejan","SLO"
"57","WIENER Wolfgang","AUT"
"57","ZIKIC Stefan","SRB"
