"Rank","Name","Country","Score","Tens","Xs"
"1","USA","USA","2098","156","62"
"2","Russia","RUS","2088","151","63"
"3","Turkey","TUR","2076","139","55"
"4","Great Britain","GBR","2075","138","54"
"5","Chinese Taipei","TPE","2074","144","52"
"6","India","IND","2073","140","56"
"7","South Africa","RSA","2071","136","57"
"8","Mexico","MEX","2065","125","47"
"9","France","FRA","2063","132","53"
"10","Italy","ITA","2063","132","41"
"11","Netherlands","NED","2056","128","54"
"12","Germany","GER","2055","130","48"
