"Rank","Name","Country","Score","Tens","Xs"
"1","Chinese Taipei","TPE","2001","92","31"
"2","Russia","RUS","1988","79","32"
"3","PR China","CHN","1979","83","23"
"4","Spain","ESP","1966","78","22"
"5","Ukraine","UKR","1962","72","20"
"6","Mexico","MEX","1959","68","25"
"7","India","IND","1956","75","29"
"8","Italy","ITA","1953","71","26"
"9","Japan","JPN","1948","67","18"
"10","Germany","GER","1943","67","16"
"11","France","FRA","1938","71","21"
"12","Great Britain","GBR","1937","68","22"
"13","USA","USA","1922","60","20"
"14","Belarus","BLR","1919","65","29"
"15","Denmark","DEN","1912","62","15"
"16","Turkey","TUR","1912","55","21"
"17","Poland","POL","1892","56","14"
"18","Sweden","SWE","1882","51","14"
"19","Mongolia","MGL","1858","59","19"
"20","Austria","AUT","1858","46","19"
"21","Georgia","GEO","1855","54","18"
"22","Kazakhstan","KAZ","1832","46","13"
"23","Kyrgyzstan","KGZ","1795","35","10"
"24","Azerbaijan","AZE","1778","29","14"
"25","New Zealand","NZL","1738","21","6"
"26","Tajikistan","TJK","1680","24","8"
