"Rank","Name","Country","Score","Tens","Xs"
"1","Netherlands","NED","2034","109","40"
"2","France","FRA","2020","99","34"
"3","USA","USA","2019","103","48"
"4","Turkey","TUR","2013","98","28"
"5","Chinese Taipei","TPE","2012","102","36"
"6","Spain","ESP","2012","100","32"
"7","India","IND","2010","98","34"
"8","Germany","GER","2005","86","31"
"9","Russia","RUS","2005","94","30"
"10","Italy","ITA","2004","95","28"
"11","Kazakhstan","KAZ","2002","97","32"
"12","Brazil","BRA","1997","96","32"
"13","PR China","CHN","1993","83","30"
"14","Great Britain","GBR","1988","86","22"
"15","Canada","CAN","1986","84","25"
"16","Ukraine","UKR","1986","82","27"
"17","Japan","JPN","1984","89","30"
"18","Mexico","MEX","1977","82","31"
"19","Poland","POL","1965","83","23"
"20","Slovenia","SLO","1957","75","29"
"21","Georgia","GEO","1946","67","18"
"22","Mongolia","MGL","1942","82","26"
"23","Austria","AUT","1933","70","22"
"24","Luxembourg","LUX","1931","68","23"
"25","Belarus","BLR","1930","66","25"
"26","Chile","CHI","1911","71","23"
"27","Armenia","ARM","1791","35","14"
"28","New Zealand","NZL","1747","25","6"
