"Rank","Name","Country"
"1","ELLISON Brady","USA"
"2","WIJLER Steve","NED"
"3","GAZOZ Mete","TUR"
"4","NESPOLI Mauro","ITA"
"5","VAN DEN BERG Sjef","NED"
"6","LI Jialun","CHN"
"7","WILLIAMS Jack","USA"
"8","MAKHNENKO Artem","RUS"
"9","ALVARINO GARCIA Miguel","ESP"
"9","DING Yiliang","CHN"
"9","D’ALMEIDA Marcus","BRA"
"9","GALIAZZO Marco","ITA"
"9","HUNBIN Oleksii","UKR"
"9","IRDYNEEV Erdem","RUS"
"9","RAI Tarundeep","IND"
"9","ROJAS Carlos","MEX"
"17","ABDULLIN Ilfat","KAZ"
"17","AK Samet","TUR"
"17","AOSHIMA Tetsuya","JPN"
"17","DUENAS Crispin","CAN"
"17","DUZELBAYEV Sultan","KAZ"
"17","FENG Hao","CHN"
"17","HABJAN MALAVASIC Den","SLO"
"17","KASPROWSKI Oskar","POL"
"17","OLARU Dan","MDA"
"17","PETERS Eric","CAN"
"17","PLIHON Pierre","FRA"
"17","RUBAN Viktor","UKR"
"17","TANG Chih-Chun","TPE"
"17","VALLADONT Jean-Charles","FRA"
"17","VAN DER VEN Rick","NED"
"17","VERMA Atul","IND"
"33","ACHA Pablo","ESP"
"33","ALVAREZ Luis","MEX"
"33","BOARDMAN Ernesto","MEX"
"33","BOZLAR Fatih","TUR"
"33","COSTA Marcelo","BRA"
"33","DAS Atanu","IND"
"33","DENG Yu-Cheng","TPE"
"33","HAVELKO Yuriy","UKR"
"33","HUSTON Patrick","GBR"
"33","JACQUEY Clement","FRA"
"33","KAHLLUND Florian","GER"
"33","MAXWELL Brian","CAN"
"33","MOSESHVILI Jaba","GEO"
"33","MUSOLESI Federico","ITA"
"33","PASQUALUCCI David","ITA"
"33","PKHAKADZE Lasha","GEO"
"33","RIEGER Cedric","GER"
"33","SIERAKOWSKI Kacper","POL"
"33","STANWOOD Thomas","USA"
"33","STRAJHAR Gasper","SLO"
"33","TOMATSU Daisuke","JPN"
"33","TSYNGUEV Beligto","RUS"
"33","WECKMUELLER Maximilian","GER"
"33","WEI Chun-Heng","TPE"
"57","AGUILAR Andres","CHI"
"57","ALVARADO SANTIN Angel David","MEX"
"57","BAASANKHUU Adiyasuren","MGL"
"57","BAATARKHUYAG Otgonbold","MGL"
"57","BALDANOV Arsalan","RUS"
"57","BARBER Thomas","GBR"
"57","BIZJAK Rok","SLO"
"57","CASTRO Daniel","ESP"
"57","CHIRAULT Thomas","FRA"
"57","DAL Erdal Meric","TUR"
"57","DALIDOVICH Pavel","BLR"
"57","DANILA Andrei","ROU"
"57","EBERMANN Erik","CZE"
"57","FABER Florian","SUI"
"57","FIRSAU Kiryl","BLR"
"57","GANKIN Denis","KAZ"
"57","GSTOETTNER Andreas","AUT"
"57","HALL Tom","GBR"
"57","HENCKELS Jeff","LUX"
"57","IEPURI Ghenadi","ROU"
"57","IRRASCH Dominik","AUT"
"57","IVANYTSKYY Heorhiy","UKR"
"57","JADHAV Pravin Ramesh","IND"
"57","JANTSAN Gantugs","MGL"
"57","KAO Hao-Wen","TPE"
"57","KIM Edson","BRA"
"57","KLEIN Pit","LUX"
"57","LIAHUSHEV Alexander","BLR"
"57","MESTVIRISHVILI Zurab","GEO"
"57","MIHALIC Matija","CRO"
"57","MUSSAYEV Sanzhar","KAZ"
"57","OGRODOWCZYK Mateusz","POL"
"57","OLIVEIRA Bernardo","BRA"
"57","OONUKI Wataru","JPN"
"57","PIFARRE TRUJILLO Miguel","ESP"
"57","PIIPPO Samuli","FIN"
"57","RAVNIKAR Ziga","SLO"
"57","REQUA Matthew","USA"
"57","RUFER Thomas","SUI"
"57","SCHWEIGHOFER Julian","AUT"
"57","SOTO Ricardo","CHI"
"57","STEFANOVIC Nikola","SRB"
"57","SZAFRAN Marek","POL"
"57","VAN TONGEREN Jan","NED"
"57","VIKSTROM Antti Olavi","FIN"
"57","WEI Shaoxuan","CHN"
"57","WIESER Felix","GER"
"57","WISE Alexander","GBR"
"105","SUGIO Tomoki","JPN"
"106","REMAR Alen","CRO"
"107","MOSÉN Jacob","SWE"
"108","PRILEPOV Anton","BLR"
"109","HAMOR Martin","CZE"
"110","KLEIN Joe","LUX"
"111","BANCHEV Ivan","BUL"
"112","BÆK Eli Kure","DEN"
"113","VENGEROV Roman","AZE"
"114","FLINK Ludvig","SWE"
"115","HUMMELBRUNNER Bernhard","AUT"
"116","SORLEY Conner","CAN"
"117","PAINEVIL NAVARRO Juan","CHI"
"118","SHAHNAZARYAN Vasil","ARM"
"119","HAZARUMYAN Gevorg","ARM"
"120","MATHESON Finn","NZL"
"121","VELLEMAN David","NZL"
"122","TAYLOR Adam","IRL"
"123","MARTIROSYAN Hamlet","ARM"
"124","MOSCA Johnathan","TTO"
"125","LUZHNICA Atdhe","KOS"
"126","SHIRINOV ALMAZ Almaz","KGZ"
"127","EMANUEL Peter","NZL"
"128","RUSS Caleb","NZL"
"129","ASLLANI Hazir","KOS"
