"Rank","Name","Country","Score","Tens","Xs"
"1","USA","USA","2124","152","80"
"2","Denmark","DEN","2118","174","78"
"3","Netherlands","NED","2111","170","78"
"4","India","IND","2111","167","91"
"5","France","FRA","2110","170","76"
"6","Russia","RUS","2107","166","81"
"7","Mexico","MEX","2101","167","81"
"8","Chinese Taipei","TPE","2101","161","75"
"9","Turkey","TUR","2094","159","66"
"10","Sweden","SWE","2093","152","59"
"11","Germany","GER","2093","151","57"
"12","Great Britain","GBR","2091","149","57"
"13","Italy","ITA","2088","151","72"
"14","South Africa","RSA","2087","165","75"
"15","Austria","AUT","2078","140","56"
"16","Poland","POL","2046","128","61"
"17","Czech Republic","CZE","2038","116","42"
