"Rank","Name","Country","Score","Tens","Xs"
"1","MLINARIC Amanda","CRO","704","57","21"
"2","BOSTAN Yesim","TUR","704","56","24"
"3","PEARCE Paige","USA","702","54","21"
"4","VAN KRADENBURG Jeanine","RSA","701","54","28"
"5","RUIZ Alexis","USA","701","54","23"
"6","LOPEZ Sara","COL","699","53","21"
"7","WENTZEL Danelle","RSA","699","51","19"
"8","BALZHANOVA Viktoria","RUS","698","52","22"
"9","PRIEELS Sarah","BEL","698","51","21"
"10","JENSEN Tanja","DEN","697","51","28"
"11","SHKOLNA Mariya","LUX","697","51","22"
"12","ANNISON Layla","GBR","697","51","21"
"13","VENNAM Jyothi Surekha","IND","696","51","22"
"14","DODEMONT Sophie","FRA","696","50","23"
"15","SAVENKOVA Alexandra","RUS","696","50","21"
"16","CHEN Yi-Hsuan","TPE","696","50","18"
"17","COX Cassidy","USA","695","48","18"
"18","ELLISON Toja","SLO","695","48","17"
"19","AVDEEVA Natalia","RUS","694","49","20"
"20","VERMEULEN Jody","NED","694","47","22"
"21","BECERRA Andrea","MEX","694","46","18"
"22","HUANG I-Jou","TPE","693","50","19"
"23","SCHALL Velia","GER","693","48","20"
"24","TONIOLI Marcella","ITA","693","48","17"
"25","RONER Elisa","ITA","692","46","12"
"26","GIBSON Ella","GBR","691","46","17"
"27","DUDHWAL Swati","IND","690","47","17"
"28","LISLEVAND Sunniva","NOR","689","50","15"
"29","FRAIGNEAU Clémence","FRA","689","45","15"
"30","DE LAAT Sanne","NED","688","45","20"
"31","KIRAR Muskan","IND","687","42","17"
"32","MASON Lucy","GBR","687","41","16"
"33","ZEPEDA Fernanda","MEX","687","40","13"
"34","ELMAAGACLI Gizem","TUR","686","43","16"
"35","TOMRUK Ipek","TUR","686","40","15"
"36","LIN Ming-Ching","TPE","685","44","15"
"37","RAJ KAUR","IND","685","42","16"
"38","DAMSBO Erika","DEN","685","40","13"
"39","HEIGENHAUSER Kristina","GER","684","46","15"
"40","MERINO Brenda","MEX","684","39","16"
"41","CINTRON Marla","PUR","683","40","12"
"42","CHEN Li Ju","TPE","683","39","9"
"43","TONTOEVA Diana","RUS","681","38","14"
"44","RET Sara","ITA","678","38","12"
"45","HERVE Sandra","FRA","678","37","15"
"46","WENZL Jennifer","GER","678","36","13"
"47","THEODORE Breanna","USA","678","33","14"
"48","SHKLIAR Kseniia","UKR","677","37","14"
"49","GRYDELAND Runa","NOR","677","36","14"
"50","LYAN Viktoriya","KAZ","676","33","13"
"51","COUWENBERG Martine","NED","674","36","12"
"52","VILJOEN Amanda","RSA","671","31","10"
"53","ALVAREZ OSPINA M. Pilar","ESP","663","27","15"
"54","STAHLKRANTZ Sofie","SWE","663","26","15"
"55","MARCEN Maja","COL","662","26","13"
"56","HOIM Emily","EST","661","23","5"
