"Rank","Name","Country","Score","Tens","Xs"
"1","JENSEN Tanja","DEN","703","55","22"
"2","BOSTAN Yesim","TUR","702","56","17"
"3","ELLISON Toja","SLO","698","50","22"
"4","KIM Yunhee","KOR","697","51","24"
"5","SO Chaewon","KOR","697","49","25"
"6","CHOI Bomin","KOR","695","47","21"
"7","BALZHANOVA Viktoria","RUS","694","48","21"
"8","RUIZ Alexis","USA","692","49","18"
"9","PRIEELS Sarah","BEL","691","50","18"
"10","CHEN Li Ju","TPE","686","42","19"
"11","O’SULLIVAN Lucy","GBR","685","42","14"
"12","HUANG I-Jou","TPE","683","42","15"
"13","LIN Ming-Ching","TPE","683","39","10"
"14","MARCOS Andrea","ESP","682","42","10"
"15","VAN NATTA Jamie","USA","682","38","18"
"16","HALIM Nur Aina Yasmine","MAS","682","36","11"
"17","MASON Lucy","GBR","681","42","17"
"18","BANIK Susmita","BAN","681","42","13"
"19","CHEN Yi-Hsuan","TPE","681","41","16"
"20","PARVEENA","IND","681","40","10"
"21","GIBSON Ella","GBR","680","38","12"
"22","STRACHAN Sophia","USA","679","37","13"
"23","LUO Sha","CHN","678","43","20"
"24","JADHAO Monali Chandraharsh","IND","678","39","21"
"25","GURJAR Priya","IND","678","39","18"
"26","ZHANG Yue","CHN","678","38","14"
"27","THEODORE Breanna","USA","677","36","14"
"28","RANDLE Elizabeth","NZL","675","37","19"
"29","CHENG Hung Ting","HKG","675","33","12"
"30","ELMAAGACLI Gizem","TUR","674","32","9"
"31","MOHD ASMI Nurul Syazhera","MAS","673","32","9"
"32","UMURZAKOVA Mariya","KAZ","672","33","17"
"33","NIE Yuanyuan","CHN","672","32","11"
"34","VAN CASPEL Inge","NED","671","34","11"
"35","KAEWCHOMPHU Kanoknapus","THA","671","33","11"
"36","WU Guangjie","CHN","671","32","10"
"37","WALKER Lisa","NZL","669","32","14"
"38","LOH Tze Chieh Contessa","SIN","668","33","18"
"39","MIYATA Etsuko","JPN","668","32","11"
"40","MANEESOMBATKUL Kanyavee","THA","668","30","12"
"41","MAT SALLEH Fatin Nurfatehah","MAS","667","34","16"
"42","CHAM NONG Saritha","MAS","667","28","11"
"43","TOMRUK Ipek","TUR","667","27","12"
"44","JUNSOOK Nareumon","THA","664","30","11"
"45","BAM Hanlie","NZL","662","29","11"
"46","HALIMIANAVVAL Seyedeh-Vida","IRI","662","29","8"
"47","MADELEINE ONG Xue Li","SIN","661","25","6"
"48","UNDERDOWN Chloe","NZL","660","25","8"
"49","GUNAWAN Christina","SIN","656","27","8"
"50","SHUM Kit Pui","HKG","655","23","4"
"51","PRATUMSUWAN Kodchaporn","THA","645","21","7"
"52","ALVAREZ OSPINA Pilar","ESP","637","25","9"
"53","CHUI Pik Shan","HKG","636","23","6"
"54","LEE Wan Yi","HKG","636","22","6"
"55","TSYRENDONDOPOVA Darima","RUS","630","18","7"
