"Pass","A Name","A Score","A Win","B Name","B Score","B Win"
"1/48","Singh Chaman","3","0","Kamaruddin Haziq","7","1"
"1/48","Ashrafi Sadegh","1","0","Tsydypov Erdem","7","1"
"1/48","Kao Hao-Wen","7","1","Chan Jor Shing","1","0"
"1/48","Adriaensen Ben","3","0","Jantsan Gantugs","7","1"
"1/48","Pathairat Tanapat","0","0","Kaboudani Mohammadsadegh","0","1"
"1/48","Winkelstroeter Teiva","0","0","Li Jialun","6","1"
"1/48","Baasankhuu Adiyasuren","3","0","Duzelbayev Sultan","7","1"
"1/48","Kuraya Tomoaki","6","1","Pyylampi Tero","0","0"
"1/48","Shabani Reza","4","0","Choudhary Jagdish","6","1"
"1/48","Nor Hasrin Muhammad Akmal","6","1","Bizjak Rok","2","0"
"1/48","Iepuri Ghenadi","0","0","Ak Samet","6","1"
"1/48","Ohi Kazuki","6","1","Dal Erdal Meric","0","0"
"1/48","Matheson Finn","2","0","Rubel Mohammad Hakim Ahmed","6","1"
"1/48","Bourdage Alex","5","0","Soithong Aitthiwat","6*","1"
"1/48","Duchon Juraj","0","0","van Tongeren Jan","6","1"
"1/48","Wise Alexander","4","0","Piippo Samuli","6","1"
"1/48","Pifarre Trujillo Miguel","6*","1","Zolkepeli Muhamad Zarif Syahiir","5","0"
"1/48","Huston Patrick","6","1","Milon Md Emdadul Haque","2","0"
"1/48","Wei Victor","0","0","Feng Hao","6","1"
"1/48","Vikstrom Antti Olavi","6","1","Thamwong Witthaya","4","0"
"1/48","Delille Ferdinand","1","0","Muto Hiroki","7","1"
"1/48","Shana Md Ruman","6","1","Ding Yiliang","0","0"
"1/48","Thepna Denchai","2","0","Wijler Steve","6","1"
"1/48","Abdullin Ilfat","6","1","Halskov Aske","0","0"
"1/48","Ravnikar Ziga","2","0","Bazarzhapov Galsan","6","1"
"1/48","Mayr Camilo","6","1","Popov Vitalii","2","0"
"1/48","Gras Didier","1","0","Alvarino Garcia Miguel","7","1"
"1/48","Antoine Thomas","2","0","Jimenez Mathieu","6","1"
"1/48","Singh Sukhchain","6","1","Ebermann Erik","0","0"
"1/48","Pirali Najafabadi Amin","0","0","Deng Yu-Cheng","6","1"
"1/48","Tyack Ryan","6","1","Nguyen Thanh Binh","2","0"
"1/48","Strajhar Gasper","6","1","Barnes David","4","0"
"1/48","Wei Chun-Heng","7","1","Duchon Miroslav","1","0"
"1/48","Danila Andrei","4","0","Baldanov Arsalan","6","1"
"1/48","Requa Matthew","6","1","Wong Sung Tin","2","0"
"1/48","Baatarkhuyag Otgonbold","7","1","Bozlar Fatih","3","0"
"1/48","Barber Thomas","0","0","Dindor Vakilraj","6","1"
"1/48","Acha Pablo","6","1","Vozech Jan","2","0"
"1/48","De Smedt Jarno","5","0","Castro Daniel","6*","1"
"1/48","Islam Mohammad Tamimul","3","0","Tekoniemi Antti","7","1"
"1/48","Stefanovic Nikola","3","0","Mussayev Sanzhar","7","1"
"1/48","Wei Shaoxuan","6","1","Potts Alec","2","0"
"1/48","Roos Senna","6","1","Gstoettner Andreas","4","0"
"1/24","Kamaruddin Haziq","4","0","Tsydypov Erdem","6","1"
"1/24","Kao Hao-Wen","6*","1","Jantsan Gantugs","5","0"
"1/24","Tang Chih-Chun","7","1","Duzelbayev Sultan","1","0"
"1/24","Kuraya Tomoaki","6","1","Choudhary Jagdish","2","0"
"1/24","Nor Hasrin Muhammad Akmal","2","0","Ak Samet","6","1"
"1/24","Ohi Kazuki","2","0","Rubel Mohammad Hakim Ahmed","6","1"
"1/24","Soithong Aitthiwat","3","0","van Tongeren Jan","7","1"
"1/24","Piippo Samuli","6","1","Hall Tom","4","0"
"1/24","van der Ven Rick","6*","1","Pifarre Trujillo Miguel","5","0"
"1/24","Huston Patrick","2","0","Feng Hao","6","1"
"1/24","Vikstrom Antti Olavi","2","0","Muto Hiroki","6","1"
"1/24","Shana Md Ruman","6","1","Wijler Steve","2","0"
"1/24","Abdullin Ilfat","3","0","Bazarzhapov Galsan","7","1"
"1/24","Mayr Camilo","0","0","Alvarino Garcia Miguel","6","1"
"1/24","Williams Jack","6","1","Jimenez Mathieu","4","0"
"1/24","Singh Sukhchain","3","0","Deng Yu-Cheng","7","1"
"1/24","Tyack Ryan","7","1","Strajhar Gasper","1","0"
"1/24","Wei Chun-Heng","6","1","Baldanov Arsalan","0","0"
"1/24","Requa Matthew","6","1","Baatarkhuyag Otgonbold","2","0"
"1/24","Dindor Vakilraj","6","1","Gankin Denis","4","0"
"1/24","Acha Pablo","6","1","Castro Daniel","4","0"
"1/24","Tekoniemi Antti","3","0","Mussayev Sanzhar","7","1"
"1/24","Wei Shaoxuan","6","1","Roos Senna","0","0"
"1/16","Lee Woo Seok","6","1","Tsydypov Erdem","4","0"
"1/16","Kao Hao-Wen","4","0","Li Jialun","6","1"
"1/16","Tang Chih-Chun","6","1","Kuraya Tomoaki","0","0"
"1/16","Ak Samet","6*","1","Gazoz Mete","5","0"
"1/16","Lee Seungyun","7","1","Rubel Mohammad Hakim Ahmed","3","0"
"1/16","van Tongeren Jan","5","0","Piippo Samuli","6*","1"
"1/16","van der Ven Rick","6","1","Feng Hao","2","0"
"1/16","Muto Hiroki","1","0","Ellison Brady","7","1"
"1/16","Van Den Berg Sjef","6","1","Shana Md Ruman","4","0"
"1/16","Bazarzhapov Galsan","6","1","Alvarino Garcia Miguel","2","0"
"1/16","Williams Jack","7","1","Deng Yu-Cheng","1","0"
"1/16","Tyack Ryan","5","0","Mohamad Khairul Anuar","6*","1"
"1/16","Furukawa Takaharu","4","0","Wei Chun-Heng","6","1"
"1/16","Requa Matthew","4","0","Dindor Vakilraj","6","1"
"1/16","Acha Pablo","2","0","Mussayev Sanzhar","6","1"
"1/16","Wei Shaoxuan","0","0","Kim Woojin","6","1"
"1/8","Lee Woo Seok","6","1","Li Jialun","2","0"
"1/8","Tang Chih-Chun","6","1","Ak Samet","4","0"
"1/8","Lee Seungyun","6","1","Piippo Samuli","0","0"
"1/8","van der Ven Rick","0","0","Ellison Brady","6","1"
"1/8","Van Den Berg Sjef","6*","1","Bazarzhapov Galsan","5","0"
"1/8","Williams Jack","2","0","Mohamad Khairul Anuar","6","1"
"1/8","Wei Chun-Heng","7","1","Dindor Vakilraj","3","0"
"1/8","Mussayev Sanzhar","4","0","Kim Woojin","6","1"
"1/4","Lee Woo Seok","6","1","Tang Chih-Chun","2","0"
"1/4","Lee Seungyun","5","0","Ellison Brady","6*","1"
"1/4","Van Den Berg Sjef","6","1","Mohamad Khairul Anuar","0","0"
"1/4","Wei Chun-Heng","0","0","Kim Woojin","6","1"
"1/2","Lee Woo Seok","6","1","Ellison Brady","4","0"
"1/2","Van Den Berg Sjef","1","0","Kim Woojin","7","1"
"Bronze","Van Den Berg Sjef","0","0","Ellison Brady","6","1"
"Gold","Kim Woojin","2","0","Lee Woo Seok","6","1"
