"Rank","Name","Country"
"1","KANG Chae Young","KOR"
"2","TOMOMI Sugimoto","JPN"
"3","TAN Ya-Ting","TPE"
"4","ABDUL HALIL Nur Afisa","MAS"
"5","AN Qixuan","CHN"
"6","MENG Fanxu","CHN"
"7","PEROVA Ksenia","RUS"
"8","CHOI Misun","KOR"
"9","BHAKAT Ankita","IND"
"9","FOLKARD Naomi","GBR"
"9","GALISTEO Monica","ESP"
"9","GHAPAR Nur Aliya","MAS"
"9","HAYAKAWA Ren","JPN"
"9","NEMATI Zahra","IRI"
"9","PITMAN Bryony","GBR"
"9","ZHENG Yichai","CHN"
"17","ALIPOOR Niloofar","IRI"
"17","ANAGOZ Yasemin","TUR"
"17","BETTLES Sarah","GBR"
"17","BISHINDEE Urantungalag","MGL"
"17","CHANG Hye Jin","KOR"
"17","HORACKOVA Marie","CZE"
"17","JAGER Maja","DEN"
"17","LEI Chien-Ying","TPE"
"17","LIN Chia-En","TPE"
"17","LONG Xiaoqing","CHN"
"17","MICKELBERRY Erin","USA"
"17","PENG Chia-Mao","TPE"
"17","PREETI","IND"
"17","SONODA Waka","JPN"
"17","STEPANOVA Inna","RUS"
"33",". Sangeeta","IND"
"33","AKTUNA Aybuke","TUR"
"33","ALTANGEREL Enkhtuya","MGL"
"33","AMAIESTROAIE Madalina","ROU"
"33","BROWN Mackenzie","USA"
"33","CANALES Elia","ESP"
"33","COSKUN Gulnaz","TUR"
"33","DEGN Randi","DEN"
"33","DERIN Sevcan","TUR"
"33","HAYWOOD Sarah","AUS"
"33","INGLEY Alice","AUS"
"33","KAUFHOLD Casey","USA"
"33","KUOPPA Taru","FIN"
"33","LOKE Shin Hui","MAS"
"33","LORIG Khatuna","USA"
"33","MARIN Alicia","ESP"
"33","OSIPOVA Elena","RUS"
"33","PIPER Eleanor","GBR"
"33","RAY Beauty","BAN"
"33","SHITOLE Sakshi Rajendra","IND"
"33","SHOJAMEHR Shiva","IRI"
"33","TARTLER Elisa","GER"
"33","TSYREMPILOVA Sayana","RUS"
"57","ASKAROVA Karakoz","KAZ"
"57","BOTTINELLI Gajane","FIN"
"57","BRIDGER Deonne","AUS"
"57","CASTANOS Celia","ESP"
"57","CHAI Xin Yu Keller","SIN"
"57","GHASSEMI Parmida","IRI"
"57","INKHAM Nattapat","THA"
"57","JANTIMA Natthakan","THA"
"57","KENDAL-BROWN Amanda Jessica","TTO"
"57","KHUNHIRANCHAIYO Narisara","THA"
"57","KUBARA Chinatsu","JPN"
"57","LAURSEN Anne Marie","DEN"
"57","LONGOVA Alexandra","SVK"
"57","MAXWORTHY Belinda","AUS"
"57","MAZLAN Nuramalia Haneesha","MAS"
"57","MIKLOS Beatrice","ROU"
"57","NISULA Satu","FIN"
"57","PHUTDEE Waraporn","THA"
"57","RIESS Nina","AUT"
"57","TUKIAINEN Iida","FIN"
"DSQ","IGIBAYEVA Gaukhar","KAZ"
"DSQ","ILYASSOVA Alina","KAZ"
