"Rank","Name","Country"
"1","SO Chaewon","KOR"
"2","STRACHAN Sophia","USA"
"3","RUIZ Alexis","USA"
"4","LUO Sha","CHN"
"5","KIM Yunhee","KOR"
"5","VAN NATTA Jamie","USA"
"7","JENSEN Tanja","DEN"
"8","ELMAAGACLI Gizem","TUR"
"9","BOSTAN Yesim","TUR"
"9","HALIM Nur Aina Yasmine","MAS"
"9","HUANG I-Jou","TPE"
"9","JADHAO Monali Chandraharsh","IND"
"9","LIN Ming-Ching","TPE"
"9","LOH Tze Chieh Contessa","SIN"
"9","MARCOS Andrea","ESP"
"9","ZHANG Yue","CHN"
"17","BALZHANOVA Viktoria","RUS"
"17","CHEN Li Ju","TPE"
"17","CHEN Yi-Hsuan","TPE"
"17","CHOI Bomin","KOR"
"17","ELLISON Toja","SLO"
"17","GIBSON Ella","GBR"
"17","GURJAR Priya","IND"
"17","MADELEINE ONG Xue Li","SIN"
"17","MASON Lucy","GBR"
"17","MOHD ASMI Nurul Syazhera","MAS"
"17","O’SULLIVAN Lucy","GBR"
"17","PARVEENA","IND"
"17","PRIEELS Sarah","BEL"
"17","RANDLE Elizabeth","NZL"
"17","UMURZAKOVA Mariya","KAZ"
"17","WU Guangjie","CHN"
"33","ALVAREZ OSPINA Pilar","ESP"
"33","BAM Hanlie","NZL"
"33","BANIK Susmita","BAN"
"33","CHAM NONG Saritha","MAS"
"33","CHENG Hung Ting","HKG"
"33","CHUI Pik Shan","HKG"
"33","GUNAWAN Christina","SIN"
"33","HALIMIANAVVAL Seyedeh-Vida","IRI"
"33","JUNSOOK Nareumon","THA"
"33","KAEWCHOMPHU Kanoknapus","THA"
"33","LEE Wan Yi","HKG"
"33","MANEESOMBATKUL Kanyavee","THA"
"33","MAT SALLEH Fatin Nurfatehah","MAS"
"33","MIYATA Etsuko","JPN"
"33","NIE Yuanyuan","CHN"
"33","PRATUMSUWAN Kodchaporn","THA"
"33","SHUM Kit Pui","HKG"
"33","THEODORE Breanna","USA"
"33","TOMRUK Ipek","TUR"
"33","TSYRENDONDOPOVA Darima","RUS"
"33","UNDERDOWN Chloe","NZL"
"33","VAN CASPEL Inge","NED"
"33","WALKER Lisa","NZL"
