"Rank","Name","Country"
"1","LEE Woo Seok","KOR"
"2","KIM Woojin","KOR"
"3","ELLISON Brady","USA"
"4","VAN DEN BERG Sjef","NED"
"5","LEE Seungyun","KOR"
"6","TANG Chih-Chun","TPE"
"7","WEI Chun-Heng","TPE"
"8","MOHAMAD Khairul Anuar","MAS"
"9","AK Samet","TUR"
"9","BAZARZHAPOV Galsan","RUS"
"9","DINDOR Vakilraj","IND"
"9","LI Jialun","CHN"
"9","MUSSAYEV Sanzhar","KAZ"
"9","PIIPPO Samuli","FIN"
"9","VAN DER VEN Rick","NED"
"9","WILLIAMS Jack","USA"
"17","ACHA Pablo","ESP"
"17","ALVARINO GARCIA Miguel","ESP"
"17","DENG Yu-Cheng","TPE"
"17","FENG Hao","CHN"
"17","FURUKAWA Takaharu","JPN"
"17","GAZOZ Mete","TUR"
"17","KAO Hao-Wen","TPE"
"17","KURAYA Tomoaki","JPN"
"17","MUTO Hiroki","JPN"
"17","REQUA Matthew","USA"
"17","RUBEL Mohammad Hakim Ahmed","BAN"
"17","SHANA Md Ruman","BAN"
"17","TSYDYPOV Erdem","RUS"
"17","TYACK Ryan","AUS"
"17","VAN TONGEREN Jan","NED"
"17","WEI Shaoxuan","CHN"
"33","ABDULLIN Ilfat","KAZ"
"33","BAATARKHUYAG Otgonbold","MGL"
"33","BALDANOV Arsalan","RUS"
"33","CASTRO Daniel","ESP"
"33","CHOUDHARY Jagdish","IND"
"33","DUZELBAYEV Sultan","KAZ"
"33","GANKIN Denis","KAZ"
"33","HALL Tom","GBR"
"33","HUSTON Patrick","GBR"
"33","JANTSAN Gantugs","MGL"
"33","JIMENEZ Mathieu","FRA"
"33","KAMARUDDIN Haziq","MAS"
"33","MAYR Camilo","GER"
"33","NOR HASRIN Muhammad Akmal","MAS"
"33","OHI Kazuki","JPN"
"33","PIFARRE TRUJILLO Miguel","ESP"
"33","ROOS Senna","BEL"
"33","SINGH Sukhchain","IND"
"33","SOITHONG Aitthiwat","THA"
"33","STRAJHAR Gasper","SLO"
"33","TEKONIEMI Antti","FIN"
"33","VIKSTROM Antti Olavi","FIN"
"33","WIJLER Steve","NED"
"57","ADRIAENSEN Ben","BEL"
"57","ANTOINE Thomas","FRA"
"57","ASHRAFI Sadegh","IRI"
"57","BAASANKHUU Adiyasuren","MGL"
"57","BARBER Thomas","GBR"
"57","BARNES David","AUS"
"57","BIZJAK Rok","SLO"
"57","BOURDAGE Alex","USA"
"57","BOZLAR Fatih","TUR"
"57","CHAN Jor Shing","HKG"
"57","DAL Erdal Meric","TUR"
"57","DANILA Andrei","ROU"
"57","DE SMEDT Jarno","BEL"
"57","DELILLE Ferdinand","FRA"
"57","DING Yiliang","CHN"
"57","DUCHON Juraj","SVK"
"57","DUCHON Miroslav","SVK"
"57","EBERMANN Erik","CZE"
"57","GRAS Didier","FPO"
"57","GSTOETTNER Andreas","AUT"
"57","HALSKOV Aske","DEN"
"57","IEPURI Ghenadi","ROU"
"57","ISLAM MOHAMMAD Tamimul","BAN"
"57","MATHESON Finn","NZL"
"57","MILON Md Emdadul Haque","BAN"
"57","NGUYEN Thanh Binh","VIE"
"57","PIRALI NAJAFABADI Amin","IRI"
"57","POPOV Vitalii","RUS"
"57","POTTS Alec","AUS"
"57","PYYLAMPI Tero","FIN"
"57","RAVNIKAR Ziga","SLO"
"57","SHABANI Reza","IRI"
"57","SINGH Chaman","IND"
"57","STEFANOVIC Nikola","SRB"
"57","THAMWONG Witthaya","THA"
"57","THEPNA Denchai","THA"
"57","VOZECH Jan","CZE"
"57","WEI Victor","AUS"
"57","WINKELSTROETER Teiva","FPO"
"57","WISE Alexander","GBR"
"57","WONG Sung Tin","HKG"
"57","ZOLKEPELI Muhamad Zarif Syahiir","MAS"
"DSQ","KABOUDANI Mohammadsadegh","IRI"
"DSQ","PATHAIRAT Tanapat","THA"
