"Pass","A Name","A Score","A Win","B Name","B Score","B Win"
"1/24","Nie Yuanyuan","139","0","Umurzakova Mariya","146","1"
"1/24","Mason Lucy","143","1","Underdown Chloe","139","0"
"1/24","Gunawan Christina","137","0","Halim Nur Aina Yasmine","141","1"
"1/24","Mat Salleh Fatin Nurfatehah","142","0","Jadhao Monali Chandraharsh","145","1"
"1/24","Gurjar Priya","138","1","Maneesombatkul Kanyavee","134","0"
"1/24","Walker Lisa","139","0","Randle Elizabeth","142","1"
"1/24","Gibson Ella","140","1","Junsook Nareumon","137","0"
"1/24","Chui Pik Shan","129","0","Huang I-Jou","144","1"
"1/24","Lin Ming-Ching","139","1","Alvarez Ospina Pilar","135","0"
"1/24","Bam Hanlie","139","0","Parveena","141","1"
"1/24","Cheng Hung Ting","124","0","Wu Guangjie","139","1"
"1/24","Kaewchomphu Kanoknapus","134","0","Elmaagacli Gizem","142","1"
"1/24","Chen Yi-Hsuan","146","1","Halimianavval Seyedeh-Vida","140","0"
"1/24","Pratumsuwan Kodchaporn","141","0","Marcos Andrea","145","1"
"1/24","O’Sullivan Lucy","139","1","Lee Wan Yi","131","0"
"1/24","Tomruk Ipek","145","0","Strachan Sophia","146","1"
"1/24","Theodore Breanna","139","0","Loh Tze Chieh Contessa","143","1"
"1/24","Miyata Etsuko","130","0","Zhang Yue","141","1"
"1/24","Luo Sha","145","1","Cham Nong Saritha","139","0"
"1/24","Tsyrendondopova Darima","137","0","Chen Li Ju","144","1"
"1/24","Van Natta Jamie","143","1","Shum Kit Pui","140","0"
"1/24","Madeleine Ong Xue Li","143","1","Banik Susmita","141","0"
"1/24","Mohd Asmi Nurul Syazhera","143","1","Van Caspel Inge","142","0"
"1/16","Jensen Tanja","145","1","Umurzakova Mariya","141","0"
"1/16","Mason Lucy","144","0","Halim Nur Aina Yasmine","145","1"
"1/16","Prieels Sarah","143","0","Jadhao Monali Chandraharsh","144","1"
"1/16","Gurjar Priya","141","0","Ruiz Alexis","147","1"
"1/16","So Chaewon","147","1","Randle Elizabeth","144","0"
"1/16","Gibson Ella","144","0","Huang I-Jou","146","1"
"1/16","Lin Ming-Ching","147","1","Parveena","145","0"
"1/16","Wu Guangjie","143","0","Kim Yunhee","146","1"
"1/16","Ellison Toja","147","0","Elmaagacli Gizem","147*","1"
"1/16","Chen Yi-Hsuan","145","0","Marcos Andrea","149","1"
"1/16","O’Sullivan Lucy","143","0","Strachan Sophia","146","1"
"1/16","Loh Tze Chieh Contessa","145","1","Choi Bomin","144","0"
"1/16","Balzhanova Viktoria","143","0","Zhang Yue","144","1"
"1/16","Luo Sha","149","1","Chen Li Ju","143","0"
"1/16","Van Natta Jamie","147","1","Madeleine Ong Xue Li","143","0"
"1/16","Mohd Asmi Nurul Syazhera","144","0","Bostan Yesim","147","1"
"1/8","Jensen Tanja","147","1","Halim Nur Aina Yasmine","143","0"
"1/8","Jadhao Monali Chandraharsh","140","0","Ruiz Alexis","144","1"
"1/8","So Chaewon","143","1","Huang I-Jou","142","0"
"1/8","Lin Ming-Ching","140","0","Kim Yunhee","143","1"
"1/8","Elmaagacli Gizem","142","1","Marcos Andrea","141","0"
"1/8","Strachan Sophia","146*","1","Loh Tze Chieh Contessa","146","0"
"1/8","Zhang Yue","143","0","Luo Sha","147","1"
"1/8","Van Natta Jamie","146","1","Bostan Yesim","145","0"
"1/4","Jensen Tanja","143","0","Ruiz Alexis","147","1"
"1/4","So Chaewon","150","1","Kim Yunhee","146","0"
"1/4","Elmaagacli Gizem","138","0","Strachan Sophia","142","1"
"1/4","Luo Sha","147","1","Van Natta Jamie","146","0"
"1/2","Ruiz Alexis","145","0","So Chaewon","145*","1"
"1/2","Strachan Sophia","146","1","Luo Sha","140","0"
"Bronze","Luo Sha","146","0","Ruiz Alexis","147","1"
"Gold","Strachan Sophia","140","0","So Chaewon","148","1"
