"Rank","Name","Country","Score","Tens","Xs"
"1","SULLIVAN Matt","USA","712","64","35"
"2","CHOI Yonghee","KOR","710","62","35"
"3","SCHAFF Kris","USA","709","62","23"
"4","KIM Jongho","KOR","709","61","41"
"5","HERNANDEZ Roberto","ESA","708","61","33"
"6","MASON James","GBR","707","59","28"
"7","YANG Jaewon","KOR","706","58","33"
"8","GELLENTHIEN Braden","USA","706","58","31"
"9","KUMAR Praveen","IND","704","56","30"
"10","CHEN Chieh-Lun","TPE","704","56","18"
"11","FREDERICKX Brend","BEL","701","53","23"
"12","OOSTHUIZEN Danie","AUS","700","53","29"
"13","KOOLS Reginald","BEL","700","52","24"
"14","SUN Yingjie","CHN","699","54","21"
"15","YEN Ka King","HKG","699","51","19"
"16","ITSARANGKUN NA AYUTTHAYA Dhansarit","THA","698","53","21"
"17","KUCHEL Andrew","AUS","698","52","22"
"18","LOPEZ Ramon","ESP","698","52","18"
"19","WANG Yue","CHN","698","51","21"
"20","NAKAMURA Kazune","JPN","698","50","20"
"21","SINGH Lovejot","IND","697","52","32"
"22","VAN TONDER Riku","NZL","697","52","29"
"23","PALIZBAN Mohammadsaleh","IRI","697","52","24"
"24","YETIM Muhammed","TUR","697","51","23"
"25","MORGAN Tate","USA","697","51","15"
"26","CAGIRAN Evren","TUR","697","50","22"
"27","EBADI Esmaeil","IRI","697","50","13"
"28","ARAZ Suleyman","TUR","697","49","16"
"29","JUUTILAINEN Mikko","FIN","696","51","13"
"30","JAFAR Syahrizan","MAS","695","51","27"
"31","MCDOUGALL Matthew","AUS","695","48","15"
"32","CHAINAK Sirapop","THA","695","47","19"
"33","XUE Zheng","CHN","694","47","18"
"34","LIU Yuan","TPE","692","49","20"
"35","CHEUNG Cheuk Sing","HKG","692","48","20"
"36","WIENER Nico","AUT","692","45","23"
"37","COGHLAN Patrick","AUS","690","51","19"
"38","PAN Yu Ping","TPE","690","49","17"
"39","BISLA Sangampreet Singh","IND","690","45","20"
"40","VAVRO Mario","CRO","690","43","15"
"41","MOHANARAJA Khambeswaran","MAS","688","47","19"
"42","KARABAYEV Rustam","KAZ","688","43","19"
"43","KOOLS Jonathan","BEL","688","43","17"
"44","SINGH Gurwinder","IND","688","42","19"
"45","PHOHIRAN Khwanchai","THA","687","44","18"
"46","MAHBOUBI MATBOOE Nima","IRI","687","44","14"
"47","KARABAYEV Akbarali","KAZ","687","43","21"
"48","GU Senji","CHN","683","36","17"
"49","ACHILIE Ovidiu","ROU","682","43","19"
"50","CHATACHOT Nitiphum","THA","680","39","18"
"51","VAN TONDER Rynard","NZL","680","39","13"
"52","BREHAUT Jamie","CAN","680","38","13"
"53","WONG Co Wan","MAS","678","39","19"
"54","PAVLOV Asim","RUS","678","39","19"
"55","SHEERIN Dean","NZL","676","40","19"
"56","CHEN Hsiang-Hsuan","TPE","676","40","10"
"57","BARCLAY Marcus","NZL","673","31","13"
"58","MOHD KAMRO Mohd Hakhiki","MAS","672","34","10"
"59","TSUI Wai Hung","HKG","672","32","12"
"60","DAS Ashim Kumer","BAN","669","35","15"
"61","BEKTURSUN Zhomart","KAZ","666","31","13"
"62","BASHKIREV Alexey","RUS","663","27","12"
"63","LAU Chi Hung","HKG","660","26","6"
"64","GANBAATAR Ganzorig","MGL","653","24","5"
"65","DAVAAKHUU Shagjsuren","MGL","639","22","6"
