"Rank","Name","Country","Score","Tens","Xs"
"1","SCHLOESSER Mike","NED","713","65","42"
"2","SULLIVAN Matt","USA","711","63","25"
"3","ELZINGA Peter","NED","706","59","27"
"4","PAGNONI Federico","ITA","706","58","28"
"5","HERNANDEZ Roberto","ESA","704","57","30"
"6","MORGAN Tate","USA","703","55","22"
"7","SINGH MEJIA Jagdeep Teji","COL","702","54","26"
"8","PAGNI Sergio","ITA","702","54","18"
"9","DAMSBO Martin","DEN","701","55","24"
"10","DELOCHE Pierre-Julien","FRA","701","53","25"
"11","ARENAS Sebastian","COL","700","53","26"
"12","CARDONA Camilo Andres","COL","700","53","20"
"13","SCHAFF Kris","USA","699","51","25"
"14","MUNOZ Daniel","COL","698","51","20"
"15","GELLENTHIEN Braden","USA","697","52","27"
"16","MIOR Viviano","ITA","695","51","21"
"17","BOSANSKY Jozef","SVK","695","49","21"
"18","PEINEAU Sebastien","FRA","695","49","15"
"19","NOLASCO CARIAS Douglas Vladimir","ESA","695","48","18"
"20","PIZARRO Jean","PUR","694","46","22"
"21","BOULCH Jean Philippe","FRA","692","46","17"
"22","PATER Sil","NED","691","44","15"
"23","CONRADO BRASSAROTO Bruno","BRA","690","47","19"
"24","BUDEN Domagoj","CRO","689","44","17"
"25","LOPEZ Ramon","ESP","689","43","23"
"26","BARILLAS Julio","GUA","689","42","21"
"27","NIKOLAJUK Ivan","ARG","688","43","21"
"28","VELIZ Miguel Angel","ESA","683","42","16"
"29","AGUILAR Guillermo","CHI","665","30","9"
"30","JIMENEZ MUSTAFA Ruben","DOM","656","24","3"
"31","BUZEK Vladimir","SVK","654","23","7"
"32","QUESADA ARIAS Diego","CRC","646","19","5"
"33","BUSTAMANTE NUNEZ Alvaro Jose Miguel Dario","PER","640","18","5"
"34","GARCIA ESCALANTE Oscar Augusto","PER","621","18","5"
