"Rank","Name","Country","Score","Tens","Xs"
"1","ELLISON Brady","USA","692","49","19"
"2","KIM Woojin","KOR","692","48","21"
"3","LEE Seungyun","KOR","692","47","14"
"4","VAN DEN BERG Sjef","NED","685","41","14"
"5","D’ALMEIDA Marcus","BRA","684","40","15"
"6","LEE Woo Seok","KOR","683","40","15"
"7","NESPOLI Mauro","ITA","682","40","10"
"8","WIJLER Steve","NED","682","39","13"
"9","FURUKAWA Takaharu","JPN","680","35","13"
"10","WORTH Taylor","AUS","679","36","8"
"11","CHIRAULT Thomas","FRA","678","38","18"
"12","WILLIAMS Jack","USA","678","34","14"
"13","ACHA Pablo","ESP","677","35","10"
"14","VAN DER VEN Rick","NED","675","37","15"
"15","ALVARADO SANTIN Angel David","MEX","675","37","11"
"16","DUENAS Crispin","CAN","670","37","16"
"17","PIFARRE TRUJILLO Miguel","ESP","669","36","15"
"18","MUTO Hiroki","JPN","669","33","10"
"19","TYACK Ryan","AUS","669","31","8"
"20","VALLADONT Jean-Charles","FRA","667","31","12"
"21","CASTRO Daniel","ESP","666","31","7"
"22","WECKMUELLER Maximilian","GER","666","27","5"
"23","RIEGER Cedric","GER","666","26","13"
"24","KURAYA Tomoaki","JPN","665","30","7"
"25","WANG Wenxuan","CHN","664","32","16"
"26","KAHLLUND Florian","GER","663","28","7"
"27","REQUA Matthew","USA","662","25","9"
"28","PINEDA Daniel Felipe","COL","662","23","12"
"29","BROEKSMA Gijs","NED","661","29","10"
"30","BOURDAGE Alex","USA","661","26","3"
"31","JIN Tao","CHN","661","25","3"
"32","WIESER Felix","GER","660","27","10"
"33","MALAVE Elias","VEN","659","26","9"
"34","XU Zhiwei","CHN","659","25","10"
"35","QI Xiangshuo","CHN","659","23","8"
"36","FRANCO Hugo","CUB","658","28","10"
"37","GALIAZZO Marco","ITA","658","22","7"
"38","PASQUALUCCI David","ITA","657","29","12"
"39","OHI Kazuki","JPN","656","28","9"
"40","BETANCUR Daniel","COL","655","23","7"
"41","BARNES David","AUS","654","27","8"
"42","SOTO Ricardo","CHI","654","26","4"
"43","DARCY Astin","AUS","654","25","9"
"44","KLEIN Pit","LUX","651","20","10"
"45","ALVARINO GARCIA Miguel","ESP","651","18","4"
"46","PILA Andres","COL","650","24","9"
"47","ROJAS Carlos","MEX","650","23","2"
"48","HENCKELS Jeff","LUX","648","27","6"
"49","FLOSSBACH Thomas","GUA","648","22","2"
"50","ESCALANTE Ignacio","ARG","646","21","6"
"51","AGUILAR Andres","CHI","645","21","6"
"52","JAJARABILLA Mario Damian","ARG","643","25","8"
"53","CASTRO Diego","GUA","643","21","8"
"54","COSTA Marcelo","BRA","643","19","5"
"55","STEVENS Juan Carlos","CUB","642","21","6"
"56","PUENTES Adrian","CUB","642","19","3"
"57","TICAS Oscar","ESA","642","18","5"
"58","PLIHON Pierre","FRA","640","21","6"
"59","KLEIN Joe","LUX","639","25","6"
"60","PETERS Eric","CAN","636","22","6"
"61","MAXWELL Brian","CAN","634","22","8"
"62","ARCILA Santiago","COL","628","21","6"
"63","ALVAREZ Jose","ECU","626","18","4"
"64","JAQUEZ Luis Miguel","DOM","618","15","4"
"65","PRADO Santiago","PER","616","13","3"
"66","O'BRIEN TEJADA Willian Alberth","PER","612","12","1"
"67","PAINEVIL NAVARRO Juan","CHI","609","10","7"
"68","SABADO Kevin","ARG","608","10","5"
"69","NGUYEN Hamilton","CAN","605","16","5"
"70","JIMENEZ SALDAÑA Joshua Andres","PER","601","11","2"
"71","LOPEZ Jose Carlos","GUA","599","12","7"
"72","FRANCIS Sherwin","TTO","561","4","1"
"73","BETHANCOURTH Diego","PAN","467","6","0"
"74","BERDIALES Bladimir","PAN","288","1","0"
