"Pass","A Name","A Score","A Win","B Name","B Score","B Win"
"1/16","Anastasio Anastasia","141","0","Tonioli Marcella","148","1"
"1/16","Strachan Sophia","142","0","Mendoza Ana","143","1"
"1/16","Cintron Marla","143","0","Dodemont Sophie","144","1"
"1/16","de Laat Sanne","147","1","Guzman Morati Carlina","137","0"
"1/16","Gonzalez Briozzo Maria Eugenia","139","0","Shkolna Mariya","146","1"
"1/16","Suárez Maria Valentina","140","1","Zebadua Maria Jose","136","0"
"1/16","Palomino Gutierrez Jackeline","131","0","Jensen Tanja","146","1"
"1/16","Theodore Breanna","141","0","Marcos Andrea","143","1"
"1/16","Van Natta Jamie","139","0","Damsbo Erika","141","1"
"1/16","Canevaro Guevara Valeria Estefania","135","0","Ruiz Alexis","144","1"
"1/16","Sandino Borrais Alexandra","144","1","Aliaga Hurtado Beatriz","135","0"
"1/16","Goddard Charlene Christina","143","0","Vermeulen Jody","145","1"
"1/16","Ret Sara","141","0","Prieels Sarah","142","1"
"1/8","Lopez Sara","147","1","Tonioli Marcella","143","0"
"1/8","Mendoza Ana","146","1","Dodemont Sophie","145","0"
"1/8","de Laat Sanne","147","1","Shkolna Mariya","146","0"
"1/8","Suárez Maria Valentina","143","0","Jensen Tanja","143*","1"
"1/8","Usquiano Alejandra","145","0","Marcos Andrea","146","1"
"1/8","Damsbo Erika","145","0","Ruiz Alexis","148","1"
"1/8","Sandino Borrais Alexandra","142","0","Vermeulen Jody","145","1"
"1/8","Prieels Sarah","143","0","Ellison Toja","148","1"
"1/4","Lopez Sara","148","1","Mendoza Ana","143","0"
"1/4","de Laat Sanne","146","0","Jensen Tanja","147","1"
"1/4","Marcos Andrea","145","0","Ruiz Alexis","148","1"
"1/4","Vermeulen Jody","147","1","Ellison Toja","146","0"
"1/2","Lopez Sara","149","1","Jensen Tanja","146","0"
"1/2","Ruiz Alexis","142","0","Vermeulen Jody","148","1"
"Bronze","Ruiz Alexis","145","1","Jensen Tanja","144","0"
"Gold","Vermeulen Jody","146","0","Lopez Sara","146*","1"
