"Rank","Name","Country"
"1","SCHLOESSER Mike","NED"
"2","GELLENTHIEN Braden","USA"
"3","BOULCH Jean Philippe","FRA"
"4","MORGAN Tate","USA"
"5","DELOCHE Pierre-Julien","FRA"
"6","PAGNI Sergio","ITA"
"7","MUNOZ Daniel","COL"
"7","SCHAFF Kris","USA"
"9","BUDEN Domagoj","CRO"
"9","ELZINGA Peter","NED"
"9","HERNANDEZ Roberto","ESA"
"9","MIOR Viviano","ITA"
"9","PAGNONI Federico","ITA"
"9","PATER Sil","NED"
"9","SINGH MEJIA Jagdeep Teji","COL"
"9","SULLIVAN Matt","USA"
"17","AGUILAR Guillermo","CHI"
"17","ARENAS Sebastian","COL"
"17","BARILLAS Julio","GUA"
"17","BOSANSKY Jozef","SVK"
"17","BUSTAMANTE NUNEZ Alvaro Jose Miguel Dario","PER"
"17","BUZEK Vladimir","SVK"
"17","CARDONA Camilo Andres","COL"
"17","CONRADO BRASSAROTO Bruno","BRA"
"17","DAMSBO Martin","DEN"
"17","JIMENEZ MUSTAFA Ruben","DOM"
"17","LOPEZ Ramon","ESP"
"17","NIKOLAJUK Ivan","ARG"
"17","NOLASCO CARIAS Douglas Vladimir","ESA"
"17","PEINEAU Sebastien","FRA"
"17","PIZARRO Jean","PUR"
"17","VELIZ Miguel Angel","ESA"
"33","GARCIA ESCALANTE Oscar Augusto","PER"
"33","QUESADA ARIAS Diego","CRC"
