"Rank","Name","Country","Score","Tens","Xs"
"1","Korea","KOR","2067","135","50"
"2","Netherlands","NED","2042","117","42"
"3","USA","USA","2032","108","42"
"4","Japan","JPN","2014","98","30"
"5","Spain","ESP","2012","102","32"
"6","Australia","AUS","2002","94","24"
"7","Italy","ITA","1997","91","29"
"8","Germany","GER","1995","81","25"
"9","France","FRA","1985","90","36"
"10","PR China","CHN","1984","82","29"
"11","Colombia","COL","1967","70","28"
"12","Cuba","CUB","1942","68","19"
"13","Canada","CAN","1940","81","30"
"14","Luxembourg","LUX","1938","72","22"
"15","Chile","CHI","1908","57","17"
"16","Argentina","ARG","1897","56","19"
"17","Guatemala","GUA","1890","55","17"
"18","Peru","PER","1829","36","6"
