"Rank","Name","Country"
"1","LOPEZ Sara","COL"
"2","VERMEULEN Jody","NED"
"3","RUIZ Alexis","USA"
"4","JENSEN Tanja","DEN"
"5","DE LAAT Sanne","NED"
"5","ELLISON Toja","SLO"
"7","MARCOS Andrea","ESP"
"8","MENDOZA Ana","VEN"
"9","DAMSBO Erika","DEN"
"9","DODEMONT Sophie","FRA"
"9","PRIEELS Sarah","BEL"
"9","SANDINO BORRAIS Alexandra","COL"
"9","SHKOLNA Mariya","LUX"
"9","SUÁREZ Maria Valentina","COL"
"9","TONIOLI Marcella","ITA"
"9","USQUIANO Alejandra","COL"
"17","ALIAGA HURTADO Beatriz","PER"
"17","ANASTASIO Anastasia","ITA"
"17","CANEVARO GUEVARA Valeria Estefania","PER"
"17","CINTRON Marla","PUR"
"17","GODDARD Charlene Christina","BAR"
"17","GONZALEZ BRIOZZO Maria Eugenia","ARG"
"17","GUZMAN MORATI Carlina","DOM"
"17","PALOMINO GUTIERREZ Jackeline","PER"
"17","RET Sara","ITA"
"17","STRACHAN Sophia","USA"
"17","THEODORE Breanna","USA"
"17","VAN NATTA Jamie","USA"
"17","ZEBADUA Maria Jose","GUA"
