"Rank","Name","Country"
"1","KANG Chae Young","KOR"
"2","GAUBIL Melanie","FRA"
"3","SUGIMOTO Tomomi","JPN"
"4","LAN Lu","CHN"
"5","KROPPEN Michelle","GER"
"6","RICHTER Elena","GER"
"7","WU Jiaxin","CHN"
"8","ZHAI Yuejun","CHN"
"9","ADICEOM Audrey","FRA"
"9","CANALES Elia","ESP"
"9","CHANG Hye Jin","KOR"
"9","DOS SANTOS Ane Marcelle","BRA"
"9","HAYAKAWA Ren","JPN"
"9","HINOJOSA Karla","MEX"
"9","MARIN Alicia","ESP"
"9","SONODA Waka","JPN"
"17","ACOSTA GIRALDO Valentina","COL"
"17","ANDREOLI Tatiana","ITA"
"17","BARBELIN Lisa","FRA"
"17","BAUER Katharina","GER"
"17","BAYARDO Gabriela","NED"
"17","BOARI Lucilla","ITA"
"17","BROWN Mackenzie","USA"
"17","CHOI Misun","KOR"
"17","GALISTEO Monica","ESP"
"17","KAUFHOLD Casey","USA"
"17","KUBARA Chinatsu","JPN"
"17","LANDI Vanessa","ITA"
"17","LONGOVA Alexandra","SVK"
"17","MICKELBERRY Erin","USA"
"17","RU Qingning","CHN"
"17","UNRUH Lisa","GER"
"33","BASSI Isabella","CHI"
"33","BRITEZ ISIDRE Paz Ariel","PAR"
"33","CASTANOS Celia","ESP"
"33","CHENIER Virginie","CAN"
"33","CONTRERAS Valentina","COL"
"33","CORTEZ Marcela","ESA"
"33","ELIER DABNER Constanza","CHI"
"33","ILLESCAS BUENDIA Mariana","PER"
"33","JEREZ Stefany","DOM"
"33","KENDAL-BROWN Amanda Jessica","TTO"
"33","LORIG Khatuna","USA"
"33","MARQUEZ ROJAS Catalina","CHI"
"33","MENDEZ Mayra","VEN"
"33","MEZA JUAREZ Maritza Lucia","PER"
"33","PELLECER Cinthya","GUA"
"33","RENDON Ana Maria","COL"
"33","RODRIGUEZ Elizabeth","CUB"
"33","SEPULVEDA Maira","COL"
"33","VELASQUEZ CUADROS Pamela Ruth","PER"
"33","YUBRIN Gisela Eliana","ARG"
