"Rank","Name","Country","Score","Tens","Xs"
"1","USA","USA","2113","169","72"
"2","Netherlands","NED","2110","168","84"
"3","Italy","ITA","2103","163","67"
"4","Colombia","COL","2102","160","72"
"5","France","FRA","2088","148","57"
"6","El Salvador","ESA","2082","147","64"
