"Rank","Name","Country","Score","Tens","Xs"
"1","Korea","KOR","1995","93","38"
"2","PR China","CHN","1973","82","31"
"3","Germany","GER","1951","77","22"
"4","Japan","JPN","1935","73","21"
"5","France","FRA","1929","65","23"
"6","Spain","ESP","1929","63","20"
"7","Italy","ITA","1908","69","20"
"8","USA","USA","1903","66","26"
"9","Colombia","COL","1832","43","15"
"10","Chile","CHI","1684","23","7"
"11","Peru","PER","1643","22","5"
