"Rank","Name","Country","Score","Tens","Xs"
"1","LOPEZ Sara","COL","687","47","19"
"2","BOSTAN Yesim","TUR","678","39","15"
"3","DODEMONT Sophie","FRA","671","36","14"
"4","RUIZ Alexis","USA","671","35","16"
"5","JENSEN Tanja","DEN","668","35","9"
"6","BALZHANOVA Viktoria","RUS","668","33","13"
"7","DE LAAT Sanne","NED","668","32","7"
"8","ELLISON Toja","SLO","667","31","15"
"9","GIBSON Ella","GBR","665","38","15"
"10","PRIEELS Sarah","BEL","662","30","9"
"11","COX Cassidy","USA","661","30","6"
"12","VERMEULEN Jody","NED","658","30","13"
"13","KIRAR Muskan","IND","658","28","7"
"14","SHKOLNA Mariya","LUX","658","26","4"
"15","MOON Sarah","GBR","655","32","9"
"16","VALDEZ Nora","COL","655","25","10"
"17","MLINARIC Amanda","CRO","653","28","8"
"18","STRACHAN Sophia","USA","651","24","12"
"19","HEIGENHAUSER Kristina","GER","649","24","6"
"20","TOMRUK Ipek","TUR","649","20","7"
"21","RANDLE Elizabeth","NZL","646","24","6"
"22","TONIOLI Marcella","ITA","645","26","11"
"23","PEARCE Paige","USA","645","21","8"
"24","DUDHWAL Swati","IND","642","30","14"
"25","WALKER Lisa","NZL","642","23","5"
"26","VENNAM Jyothi Surekha","IND","640","25","5"
"27","TONTOEVA Diana","RUS","640","23","8"
"28","CORLESS Susan","GBR","638","22","5"
"29","VAN DER LOOY Sandra","NED","637","24","8"
"30","DAMSBO Erika","DEN","633","17","4"
"31","THREESYADINDA Dellie","INA","631","25","10"
"32","RAJ KAUR","IND","628","23","6"
"33","ELGIBILY Nancy","EGY","627","17","7"
"34","SARGEANT Bayley","GBR","622","19","8"
"35","SCHALL Velia","GER","615","19","7"
"36","JORDAN Sarah","AUS","614","14","4"
"37","WENZL Jennifer","GER","612","15","3"
"38","CULLEN Saffron","IRL","607","21","4"
"39","UNDERDOWN Chloe","NZL","606","10","2"
"40","HANDAYANI Della Adisty","INA","606","8","3"
"41","ELMAAGACLI Gizem","TUR","603","15","4"
"42","SUMARLIDADOTTIR Sveinbjorg Rosa","ISL","454","8","5"
