"Rank","Name","Country","Score","Tens","Xs"
"1","Chinese Taipei","TPE","1928","63","12"
"2","Korea","KOR","1918","73","20"
"3","Germany","GER","1887","50","13"
"4","PR China","CHN","1885","55","19"
"5","India","IND","1854","50","12"
"6","Japan","JPN","1821","40","10"
"7","Spain","ESP","1812","41","11"
"8","Russia","RUS","1809","47","9"
"9","France","FRA","1807","33","12"
"10","Ukraine","UKR","1785","41","9"
"11","USA","USA","1772","27","15"
"12","Turkey","TUR","1757","31","6"
"13","Italy","ITA","1742","34","8"
"14","Great Britain","GBR","1736","30","11"
"15","Azerbaijan","AZE","1699","39","7"
"16","New Zealand","NZL","1572","21","5"
