"Rank","Name","Country","Score","Tens","Xs"
"1","Korea","KOR","1939","79","25"
"2","PR China","CHN","1927","72","19"
"3","India","IND","1924","57","21"
"4","USA","USA","1907","64","23"
"5","France","FRA","1905","56","19"
"6","Netherlands","NED","1898","60","19"
"7","Italy","ITA","1882","50","18"
"8","Germany","GER","1881","49","16"
"9","Turkey","TUR","1880","60","16"
"10","Ukraine","UKR","1878","59","17"
"11","Slovenia","SLO","1870","60","22"
"12","Spain","ESP","1865","54","16"
"13","Japan","JPN","1864","52","19"
"14","Canada","CAN","1812","43","11"
"15","Great Britain","GBR","1812","40","10"
"16","Ireland","IRL","1652","25","3"
