"Rank","Name","Country"
"1","RUIZ Alexis","USA"
"2","DODEMONT Sophie","FRA"
"3","LOPEZ Sara","COL"
"4","BOSTAN Yesim","TUR"
"5","PEARCE Paige","USA"
"6","ELLISON Toja","SLO"
"7","BALZHANOVA Viktoria","RUS"
"8","RANDLE Elizabeth","NZL"
"9","CORLESS Susan","GBR"
"9","COX Cassidy","USA"
"9","DE LAAT Sanne","NED"
"9","GIBSON Ella","GBR"
"9","MOON Sarah","GBR"
"9","SHKOLNA Mariya","LUX"
"9","TOMRUK Ipek","TUR"
"9","VALDEZ Nora","COL"
"17","CULLEN Saffron","IRL"
"17","DUDHWAL Swati","IND"
"17","HEIGENHAUSER Kristina","GER"
"17","JENSEN Tanja","DEN"
"17","KIRAR Muskan","IND"
"17","MLINARIC Amanda","CRO"
"17","PRIEELS Sarah","BEL"
"17","RAJ KAUR","IND"
"17","SCHALL Velia","GER"
"17","STRACHAN Sophia","USA"
"17","THREESYADINDA Dellie","INA"
"17","TONIOLI Marcella","ITA"
"17","UNDERDOWN Chloe","NZL"
"17","VAN DER LOOY Sandra","NED"
"17","VERMEULEN Jody","NED"
"33","DAMSBO Erika","DEN"
"33","ELGIBILY Nancy","EGY"
"33","ELMAAGACLI Gizem","TUR"
"33","JORDAN Sarah","AUS"
"33","SARGEANT Bayley","GBR"
"33","SUMARLIDADOTTIR Sveinbjorg Rosa","ISL"
"33","TONTOEVA Diana","RUS"
"33","VENNAM Jyothi Surekha","IND"
"33","WENZL Jennifer","GER"
"DSQ","HANDAYANI Della Adisty","INA"
"DSQ","WALKER Lisa","NZL"
