"Rank","Name","Country"
"1","CAGIRAN Evren","TUR"
"2","SCHLOESSER Mike","NED"
"3","SCHAFF Kris","USA"
"4","GELLENTHIEN Braden","USA"
"5","BUDEN Domagoj","CRO"
"5","HANSEN Stephan","DEN"
"7","BOSANSKY Jozef","SVK"
"8","ARAZ Suleyman","TUR"
"9","ARENAS Sebastian","COL"
"9","ELZINGA Peter","NED"
"9","MASON James","GBR"
"9","SULLIVAN Matt","USA"
"9","TRACHSEL Marcel","GER"
"9","VAVRO Mario","CRO"
"9","VERMA Abhishek","IND"
"9","WIENER Nico","AUT"
"17","BIELBY Adam","AUS"
"17","BOULCH Jean Philippe","FRA"
"17","DAMBAEV Alexander","RUS"
"17","DAMSBO Martin","DEN"
"17","DAS Bhagwan","IND"
"17","DELOCHE Pierre-Julien","FRA"
"17","FREGNAN Elia","ITA"
"17","HAMDORF Sebastian","GER"
"17","KLINGNER Lars","GER"
"17","LAUBE Marcus","GER"
"17","MORGAN Tate","USA"
"17","MUNOZ Daniel","COL"
"17","OLEXIENKO Justin","AUS"
"17","PATER Sil","NED"
"17","PIZARRO Jean","PUR"
"17","SAINI Aman","IND"
"33","BAGASWARA Iqbal","INA"
"33","BEGA Timo","LUX"
"33","BORGSTROM Hampus","SWE"
"33","BREHAUT Jamie","CAN"
"33","CHAUHAN Rajat","IND"
"33","DARUM Andreas","DEN"
"33","DOLDERMAN Sander","NED"
"33","FREDERICKX Brend","BEL"
"33","HERNANDEZ Roberto","ESA"
"33","KNUDSEN Mads","DEN"
"33","KOO MOY-SING Dominique","MRI"
"33","LAMESCH Pol","LUX"
"33","LIMÅS Joakim","SWE"
"33","LODETTI Alessandro","ITA"
"33","MATZNER Michael","AUT"
"33","MELAMED Yehonatan","ISR"
"33","MODIC Stas","SLO"
"33","OLEAS RODRIGUEZ Mateo Sebastian","ECU"
"33","OROSZ Viktor","HUN"
"33","PAGNI Sergio","ITA"
"33","PEINEAU Sebastien","FRA"
"33","SEYWERT Gilles","LUX"
"33","SHARVIN Mark","IRL"
"33","YETIM Muhammed","TUR"
"57","BASHKIREV Alexey","RUS"
"57","HOW KEMG FAT Henri","MRI"
"57","OLAFSSON Albert","ISL"
