"Rank","Name","Country","Score","Tens","Xs"
"1","Germany","GER","2042","116","53"
"2","Turkey","TUR","2037","119","44"
"3","USA","USA","2034","114","48"
"4","Italy","ITA","2019","118","40"
"5","France","FRA","2019","109","35"
"6","Netherlands","NED","2012","107","45"
"7","Denmark","DEN","2006","95","37"
"8","India","IND","2006","95","30"
"9","Luxembourg","LUX","1965","77","30"
