"Rank","Name","Country"
"1","GAZOZ Mete","TUR"
"2","BAE Jaehyeon","KOR"
"3","NESPOLI Mauro","ITA"
"4","OH Jin Hyek","KOR"
"5","ELLISON Brady","USA"
"6","VAN DER VEN Rick","NED"
"7","IM Dong Hyun","KOR"
"8","STRAJHAR Gasper","SLO"
"9","DE SMEDT Jarno","BEL"
"9","DING Yiliang","CHN"
"9","FENG Hao","CHN"
"9","KAO Hao-Wen","TPE"
"9","ONIYAMA Naoya","JPN"
"9","PLIHON Pierre","FRA"
"9","REQUA Matthew","USA"
"9","WEI Shaoxuan","CHN"
"17","ALVARINO GARCIA Miguel","ESP"
"17","CHIRAULT Thomas","FRA"
"17","DAL Erdal Meric","TUR"
"17","FABER Florian","SUI"
"17","HARDING Keith","GBR"
"17","HUNBIN Oleksii","UKR"
"17","IZUMI Yuya","JPN"
"17","JADHAV Pravin Ramesh","IND"
"17","KAHLLUND Florian","GER"
"17","POPOV Vitalii","RUS"
"17","SHANA Md Ruman","BAN"
"17","TONELLI Amedeo","ITA"
"17","VAN DEN BERG Sjef","NED"
"17","VERMA Atul","IND"
"17","VETTER Jonathan","GER"
"17","VIKSTROM Antti Olavi","FIN"
"33","ACHA Pablo","ESP"
"33","ADRIAENSEN Ben","BEL"
"33","BINALI Abdalelah","KSA"
"33","BROEKSMA Gijs","NED"
"33","CASTRO Daniel","ESP"
"33","DAS Atanu","IND"
"33","DENG Yu-Cheng","TPE"
"33","EBERMANN Erik","CZE"
"33","JACQUEY Clement","FRA"
"33","KLEIN Pit","LUX"
"33","LEE Seungshin","KOR"
"33","LI Jialun","CHN"
"33","MUSOLESI Federico","ITA"
"33","NIKKANEN Markus","FIN"
"33","NOMURA Tsubasa","JPN"
"33","OLARU Dan","MDA"
"33","ORTEGÓN MORALES Lester Alejandro","ECU"
"33","PKHAKADZE Lasha","GEO"
"33","RAI Tarundeep","IND"
"33","RIEGER Cedric","GER"
"33","TSYBIKZHAPOV Aldar","RUS"
"33","WECKMUELLER Maximilian","GER"
"33","WIJLER Steve","NED"
"33","WILLIAMS Jack","USA"
"57","AK Samet","TUR"
"57","ALOTAIBI Fares Mater","KSA"
"57","ALVAREZ Jose","ECU"
"57","AYDIN Ali","TUR"
"57","BARBER Thomas","GBR"
"57","BILAL Daniyal","PAK"
"57","BIZJAK Rok","SLO"
"57","BYRNE Garrett","IRL"
"57","COX Aaron","CAN"
"57","EL BISSAR Aziz","MAR"
"57","ELALAOUI Ismail","MAR"
"57","EMANUEL Peter","NZL"
"57","FULSANG Brad","CAN"
"57","GERVAIS Remi","CAN"
"57","HABJAN MALAVASIC Den","SLO"
"57","ITO Kaisei","JPN"
"57","IVANYTSKYY Heorhiy","UKR"
"57","JUDD Michael","GBR"
"57","KALAPURAYIL Rajan","SUI"
"57","KIM Joony","USA"
"57","KLEIN Joe","LUX"
"57","KLEIN Stephan","MRI"
"57","MAKAREVYCH Sergii","UKR"
"57","O'KEEFFE Maxwell","IRL"
"57","PUTRA Irvaldi Ananda","INA"
"57","RAVNIKAR Ziga","SLO"
"57","REMAR Alen","CRO"
"57","RUBAN Viktor","UKR"
"57","SAJEEV De Silva","SRI"
"57","SMITH Alex","GBR"
"57","TAYLOR Adam","IRL"
"57","VELLEMAN David","NZL"
"57","VOZECH Jan","CZE"
