"Rank","Name","Country","Score","Tens","Xs"
"1","OH Jin Hyek","KOR","654","33","11"
"2","KAO Hao-Wen","TPE","654","23","8"
"3","GAZOZ Mete","TUR","653","33","13"
"4","FENG Hao","CHN","653","26","7"
"5","IM Dong Hyun","KOR","652","27","8"
"6","ELLISON Brady","USA","651","28","10"
"7","NESPOLI Mauro","ITA","650","22","10"
"8","VERMA Atul","IND","647","23","7"
"9","STRAJHAR Gasper","SLO","644","26","7"
"10","PLIHON Pierre","FRA","644","22","8"
"11","DING Yiliang","CHN","642","26","9"
"12","ADRIAENSEN Ben","BEL","641","23","5"
"13","JADHAV Pravin Ramesh","IND","639","19","6"
"14","ALVARINO GARCIA Miguel","ESP","638","24","8"
"15","WILLIAMS Jack","USA","638","20","6"
"16","DAS Atanu","IND","638","15","8"
"17","WIJLER Steve","NED","636","22","7"
"18","VAN DER VEN Rick","NED","635","21","9"
"19","DE SMEDT Jarno","BEL","633","22","7"
"20","BAE Jaehyeon","KOR","633","19","6"
"21","WECKMUELLER Maximilian","GER","633","18","6"
"22","HUNBIN Oleksii","UKR","632","25","7"
"23","LI Jialun","CHN","632","20","3"
"24","RAI Tarundeep","IND","632","19","5"
"25","ONIYAMA Naoya","JPN","631","20","7"
"26","POPOV Vitalii","RUS","631","18","6"
"27","SHANA Md Ruman","BAN","631","18","4"
"28","JACQUEY Clement","FRA","631","14","5"
"29","LEE Seungshin","KOR","630","20","7"
"30","CHIRAULT Thomas","FRA","630","20","6"
"31","RIEGER Cedric","GER","629","19","4"
"32","PKHAKADZE Lasha","GEO","628","19","5"
"33","FABER Florian","SUI","628","17","8"
"34","VIKSTROM Antti Olavi","FIN","628","17","6"
"35","MAKAREVYCH Sergii","UKR","627","18","5"
"36","VAN DEN BERG Sjef","NED","627","17","3"
"37","BARBER Thomas","GBR","626","18","3"
"38","SAJEEV De Silva","SRI","626","17","8"
"39","REMAR Alen","CRO","625","13","1"
"40","DENG Yu-Cheng","TPE","624","16","5"
"41","TONELLI Amedeo","ITA","623","13","4"
"42","HABJAN MALAVASIC Den","SLO","622","19","9"
"43","ACHA Pablo","ESP","621","14","5"
"44","WEI Shaoxuan","CHN","620","18","7"
"45","BROEKSMA Gijs","NED","620","16","7"
"46","TSYBIKZHAPOV Aldar","RUS","619","21","3"
"47","IVANYTSKYY Heorhiy","UKR","619","16","5"
"48","VETTER Jonathan","GER","619","12","6"
"49","REQUA Matthew","USA","618","16","7"
"50","IZUMI Yuya","JPN","617","18","7"
"51","ITO Kaisei","JPN","616","14","5"
"52","COX Aaron","CAN","616","13","6"
"53","RUBAN Viktor","UKR","616","12","2"
"54","OLARU Dan","MDA","615","17","3"
"55","KLEIN Pit","LUX","615","10","1"
"56","AK Samet","TUR","614","18","2"
"57","NIKKANEN Markus","FIN","614","16","4"
"58","AYDIN Ali","TUR","613","9","1"
"59","KIM Joony","USA","611","13","2"
"60","KAHLLUND Florian","GER","610","14","3"
"61","MUSOLESI Federico","ITA","609","15","4"
"62","CASTRO Daniel","ESP","606","16","3"
"63","RAVNIKAR Ziga","SLO","604","15","6"
"64","BIZJAK Rok","SLO","603","16","1"
"65","FULSANG Brad","CAN","599","17","0"
"66","EBERMANN Erik","CZE","598","14","6"
"67","GERVAIS Remi","CAN","597","13","5"
"68","SMITH Alex","GBR","595","15","5"
"69","BYRNE Garrett","IRL","595","8","1"
"70","ALOTAIBI Fares Mater","KSA","593","12","2"
"71","DAL Erdal Meric","TUR","591","11","3"
"72","ALVAREZ Jose","ECU","591","11","0"
"73","JUDD Michael","GBR","591","7","2"
"74","ORTEGÓN MORALES Lester Alejandro","ECU","589","13","4"
"75","NOMURA Tsubasa","JPN","589","10","4"
"76","HARDING Keith","GBR","583","14","6"
"77","VOZECH Jan","CZE","580","12","3"
"78","BINALI Abdalelah","KSA","577","11","6"
"79","KLEIN Joe","LUX","571","12","2"
"80","TAYLOR Adam","IRL","561","9","1"
"81","KLEIN Stephan","MRI","560","7","3"
"82","PUTRA Irvaldi Ananda","INA","555","6","1"
"83","ELALAOUI Ismail","MAR","552","4","1"
"84","EL BISSAR Aziz","MAR","550","5","2"
"85","EMANUEL Peter","NZL","535","7","4"
"86","KALAPURAYIL Rajan","SUI","529","4","1"
"87","BILAL Daniyal","PAK","505","7","1"
"88","O'KEEFFE Maxwell","IRL","496","8","1"
"89","VELLEMAN David","NZL","495","4","1"
